PLT_CN,INVYR,LAT,LON,ELEV,COUNTYCD,canopy_cover_pct,basal_area,total_understory_cover,seedling_tpa,ground_veg_cover,vegetation_density
412222855489998,2017,35.358633,-116.482798,2300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627951126144,2019,35.358678,-116.420618,2300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484816981489998,2018,35.358805,-118.329139,4100.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627271126144,2019,35.359175,-117.734565,2700.0,29,0.0,0.0,0.0,0.0,0.0,0.0
645306921126144,2020,35.359439,-118.569841,3700.0,29,35.0,18.1265,46.63333333333333,74.965282,0.0,20.1
412221107489998,2017,35.361143,-120.715322,700.0,79,0.0,0.0,0.0,0.0,0.0,0.0
412220126489998,2017,35.363537,-117.497105,2700.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627934126144,2019,35.365081,-117.448332,3500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412220085489998,2017,35.366081,-115.60248,4300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412220010489998,2017,35.367266,-116.188883,900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412220809489998,2017,35.367662,-119.693152,900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484816935489998,2018,35.367765,-118.654825,2500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484816929489998,2018,35.369227,-118.051965,3500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627892126144,2019,35.369441,-116.130491,900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627047126144,2019,35.36988,-120.384178,1900.0,79,0.0,0.0,0.0,0.0,0.0,0.0
645308169126144,2020,35.370589,-120.928058,100.0,79,0.0,0.0,0.0,0.0,0.0,0.0
412221846489998,2017,35.370969,-117.213272,4500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627312126144,2019,35.37154,-119.649137,500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627345126144,2019,35.375765,-119.349162,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412222284489998,2017,35.376266,-115.89851,2900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
